Song,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time
Blue Moon,0.797,0.331,9,-13.505,0,0.0441,0.445,0.112,0.0543,120.014,359.58,4
My Hand in your Hand,0.654,0.421,7,-10.093,0,0.0433,0.704,0.0982,0.461,88.018,291.345,4
Trap,0.591,0.628,9,-6.021,0,0.031,0.00234,0.189,0.381,94.017,150.806,4
Vanille fraise,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.0949,0.66,103.03,238.183,4
Prix choc,0.749,0.919,0,-10.848,1,0.0409,0.232,0.383,0.793,127.871,532.373,4
Les Cam_lias - Bic m_dium/ Pt. 4,0.345,0.491,11,-7.622,0,0.041,0.42,0.0994,0.188,132.283,291.64,4
How Much (You Want Her) 2017,0.654,0.665,8,-7.335,1,0.0571,0.0125,0.0872,0.733,109.965,220.627,4
Retiens mon d_sir,0.695,0.334,11,-7.561,0,0.0643,0.0688,0.0694,0.626,98.967,221.069,4
Wicked Game - Live Paris 2016,0.329,0.693,9,-7.383,1,0.0503,0.00986,0.971,0.154,106.185,301.027,4
Moon,0.663,0.658,2,-10.001,1,0.0345,0.295,0.102,0.0532,117.986,390.639,4
Bateu,0.793,0.961,7,-7.176,1,0.0416,0.112,0.108,0.655,111.991,403.043,4
N.E.M.,0.606,0.66,5,-6.956,0,0.0536,0.0506,0.135,0.189,160.032,200.68,4
Glory Lies,0.475,0.813,6,-7.507,1,0.0296,0.141,0.199,0.473,150.038,260.48,4
Doing Yoga,0.732,0.76,4,-6.82,0,0.0922,0.214,0.389,0.318,108.993,291.573,4
La femme ö la peau bleue,0.675,0.649,11,-5.053,0,0.0751,0.429,0.228,0.244,100.012,207.923,4
Love Soup,0.483,0.566,9,-7.129,0,0.0325,0.0552,0.196,0.153,78.527,457.147,4
Zelda,0.537,0.89,5,-3.926,1,0.0514,0.0653,0.0681,0.674,156.962,181.653,4
Blind,0.591,0.911,2,-3.92,1,0.0733,0.104,0.187,0.804,98.581,222.613,4
Come to the Fore,0.5,0.774,10,-6.673,0,0.0319,0.0125,0.0566,0.399,114.959,234.76,4
Five Minutes,0.614,0.543,10,-7.641,0,0.0622,0.379,0.0747,0.396,100.038,224.672,4
Hit Sale (feat. Rom_o Elvis),0.573,0.784,9,-5.224,1,0.0591,0.141,0.0844,0.69,82.009,184.4,4
La Fête Noire,0.599,0.577,4,-9.323,1,0.0389,0.622,0.635,0.103,81.412,364.333,4
Ondulation,0.701,0.738,10,-9.062,1,0.0324,0.38,0.0882,0.532,107.019,194.128,4
Indian Poem,0.486,0.475,9,-14.613,0,0.0443,0.151,0.177,0.199,110.022,240.955,4
Mortel,0.598,0.628,5,-5.874,0,0.0265,0.00181,0.0676,0.747,95.973,236.547,4
A la plage,0.66,0.675,9,-7.086,1,0.0399,0.045,0.249,0.577,161.969,218.04,4
Diamond Veins (feat. Sarah Rebecca),0.498,0.54,8,-10.441,1,0.0302,0.000499,0.132,0.0944,100.024,240.12,4
OK!,0.679,0.783,2,-10.358,0,0.0514,0.0633,0.0758,0.392,120.041,284.525,4
Canop_e,0.704,0.691,5,-6.615,0,0.03,0.0986,0.0918,0.369,96.016,276.293,4
1982,0.577,0.379,6,-15.306,0,0.0291,0.344,0.114,0.257,81.988,205.467,4
L'escalier,0.758,0.682,0,-5.794,0,0.0496,0.0623,0.335,0.923,111.963,208.987,4
David Palmer,0.768,0.609,7,-8.087,1,0.0379,0.00133,0.102,0.518,127.048,197.538,4
Ton h_ritage,0.31,0.409,8,-8.022,0,0.0383,0.586,0.105,0.32,95.503,260.613,4
Piany Pianino,0.65,0.592,11,-13.719,0,0.0368,0.589,0.229,0.119,114.011,272.84,4
I'm That Guy,0.626,0.389,5,-10.179,0,0.0413,0.174,0.102,0.372,182.092,448.583,4
No Love,0.332,0.776,3,-6.593,1,0.0313,0.0000603,0.153,0.164,131.005,348.299,4
Ann Wants to Dance,0.742,0.436,9,-10.992,0,0.027,0.672,0.183,0.718,100.859,210.787,4
For We the Living,0.644,0.377,11,-10.652,1,0.0323,0.364,0.103,0.0379,109.985,310.867,4
Sous garantie,0.749,0.41,0,-11.05,1,0.0491,0.258,0.115,0.827,104.959,173.8,4
Willow Grove,0.429,0.59,5,-10.07,1,0.0329,0.0198,0.189,0.393,171.971,255.347,4
Les bateaux,0.532,0.597,4,-6.111,1,0.0269,0.376,0.0625,0.26,138.011,186.97,4
Happy Soup,0.469,0.793,0,-5.276,0,0.0309,0.0233,0.142,0.273,133.903,226.32,4
Surprise Party,0.489,0.743,2,-7.032,1,0.0322,0.015,0.157,0.554,175.972,288,4
Petit Pd,0.654,0.435,9,-13.543,0,0.0432,0.000908,0.117,0.678,150.026,187.32,4
Sous la Pluie,0.659,0.12,5,-10.534,0,0.0347,0.98,0.136,0.237,133.987,196.187,4
La Travers_e,0.583,0.536,10,-11.013,1,0.0433,0.7,0.0939,0.265,81.03,210.907,4
Flash,0.651,0.739,2,-4.845,0,0.0433,0.186,0.0384,0.518,103.05,179.417,4
Distant,0.57,0.489,9,-6.431,0,0.0397,0.04,0.105,0.104,130.893,227.078,4
Qui es-tu?,0.663,0.729,11,-5.881,0,0.0344,0.368,0.0685,0.757,94.991,244.452,4
Souffle le vent,0.616,0.535,0,-7.869,1,0.0604,0.0919,0.0823,0.353,101.995,192.893,4
Out Of Reach,0.633,0.63,7,-6.737,1,0.125,0.163,0.074,0.13,97.024,217.119,4
Holding Up - Radio Edit,0.666,0.809,7,-6.131,0,0.0424,0.1,0.483,0.42,94.015,202.535,4
Teahupoo - (TE AHU POO),0.477,0.365,4,-9.315,1,0.0288,0.000393,0.105,0.0928,129.891,234.173,4
Ma barbe pousse,0.532,0.29,5,-14.506,0,0.0295,0.947,0.108,0.161,151.91,186.307,4
10 ans de nous,0.47,0.374,10,-8.921,1,0.0373,0.89,0.105,0.156,98.675,207.133,4
Orange - Original Mix,0.81,0.682,7,-5.938,1,0.041,0.246,0.102,0.516,113.791,337.397,4
Blueshirt,0.644,0.539,0,-10.019,0,0.0512,0.416,0.105,0.424,89.638,206.496,4
Un nouveau monde,0.475,0.577,0,-8.456,0,0.0287,0.0207,0.0996,0.513,75.976,367.396,4
Cocktail,0.708,0.757,4,-7.044,0,0.0387,0.136,0.167,0.272,100.012,263.381,4
Bye Bye Macadam,0.593,0.509,4,-12.042,0,0.0626,0.107,0.277,0.0769,190.028,265.25,4
Roche,0.87,0.672,10,-7.777,0,0.0478,0.114,0.0804,0.925,122.034,301.467,4
Monday Land,0.646,0.556,4,-7.855,1,0.0376,0.469,0.389,0.211,77.008,189.063,4
Oracle,0.451,0.581,6,-10.745,0,0.0778,0.913,0.0886,0.764,142.538,198.68,3
Maryland,0.732,0.728,5,-4.266,0,0.0308,0.00357,0.0713,0.828,102.377,198.413,4
Heal Tomorrow,0.719,0.734,2,-5.328,0,0.0305,0.0346,0.0859,0.323,119.982,216.24,4
